id,source_drug_id,target_drug_id
728,DB00011,DB00098
729,DB00011,DB00105
730,DB00011,DB00111
731,DB00011,DB00112
732,DB00011,DB00120
733,DB00011,DB00180
734,DB00011,DB00188
735,DB00011,DB00242
736,DB00011,DB00262
737,DB00011,DB00276
738,DB00011,DB00290
739,DB00011,DB00291
740,DB00011,DB00293
741,DB00011,DB00305
742,DB00011,DB00307
743,DB00011,DB00309
744,DB00011,DB00322
745,DB00011,DB00328
746,DB00011,DB00352
747,DB00011,DB00361
748,DB00011,DB00380
749,DB00011,DB00394
750,DB00011,DB00398
751,DB00011,DB00428
752,DB00011,DB00432
753,DB00011,DB00441
754,DB00011,DB00443
755,DB00011,DB00444
756,DB00011,DB00445
757,DB00011,DB00446
758,DB00011,DB00480
759,DB00011,DB00488
760,DB00011,DB00495
761,DB00011,DB00515
762,DB00011,DB00526
763,DB00011,DB00531
764,DB00011,DB00541
765,DB00011,DB00544
766,DB00011,DB00550
767,DB00011,DB00552
768,DB00011,DB00563
769,DB00011,DB00564
770,DB00011,DB00570
771,DB00011,DB00588
772,DB00011,DB00591
773,DB00011,DB00601
774,DB00011,DB00619
775,DB00011,DB00620
776,DB00011,DB00631
777,DB00011,DB00635
778,DB00011,DB00642
779,DB00011,DB00687
780,DB00011,DB00688
781,DB00011,DB00694
782,DB00011,DB00755
783,DB00011,DB00762
784,DB00011,DB00763
785,DB00011,DB00764
786,DB00011,DB00773
787,DB00011,DB00795
788,DB00011,DB00851
789,DB00011,DB00853
790,DB00011,DB00859
791,DB00011,DB00860
792,DB00011,DB00877
793,DB00011,DB00888
794,DB00011,DB00928
795,DB00011,DB00958
796,DB00011,DB00959
797,DB00011,DB00970
798,DB00011,DB00987
799,DB00011,DB00993
800,DB00011,DB00997
801,DB00011,DB01005
802,DB00011,DB01008
803,DB00011,DB01024
804,DB00011,DB01030
805,DB00012,DB00480
806,DB00012,DB01041
807,DB00012,DB08910
808,DB00012,DB00002
809,DB00012,DB00004
810,DB00012,DB00007
811,DB00012,DB00008
812,DB00012,DB00014
813,DB00012,DB00023
814,DB00012,DB00041
815,DB00012,DB00056
816,DB00012,DB00059
817,DB00012,DB00072
818,DB00012,DB00073
819,DB00012,DB00081
820,DB00012,DB00087
821,DB00012,DB00104
822,DB00012,DB00105
823,DB00012,DB00112
824,DB00012,DB00179
825,DB00012,DB00188
826,DB00012,DB00236
827,DB00012,DB00242
828,DB00012,DB00248
829,DB00012,DB00261
830,DB00012,DB00262
831,DB00012,DB00269
832,DB00012,DB00276
833,DB00012,DB00282
834,DB00012,DB00290
835,DB00012,DB00291
836,DB00012,DB00293
