id,source_id,condition_id,drug_id
1179,1,1055,DB00758
1180,1,620,DB00758
1181,1,1323,DB00758
1182,1,886,DB00758
1183,1,1430,DB00758
1184,1,1105,DB00758
1185,1,1388,DB00758
1186,1,595,DB00758
1187,1,1000,DB00758
1188,1,1404,DB00758
1189,1,589,DB00758
1190,1,1154,DB00758
1191,1,1001,DB00758
1192,1,1152,DB00758
1193,1,879,DB00758
1194,1,792,DB00758
1195,1,1324,DB00758
1196,1,916,DB00758
1197,1,1055,DB00758
1198,1,620,DB00758
1199,1,1323,DB00758
1200,1,886,DB00758
1201,1,1430,DB00758
1202,1,1105,DB00758
1203,1,1388,DB00758
1204,1,595,DB00758
1205,1,1000,DB00758
1206,1,1404,DB00758
1207,1,589,DB00758
1208,1,1154,DB00758
1209,1,1001,DB00758
1210,1,1152,DB00758
1211,1,879,DB00758
1212,1,792,DB00758
1213,1,1324,DB00758
1214,1,916,DB00758
1215,1,1055,DB00758
1216,1,620,DB00758
1217,1,1323,DB00758
1218,1,886,DB00758
1219,1,1430,DB00758
1220,1,1105,DB00758
1221,1,1388,DB00758
1222,1,595,DB00758
1223,1,1000,DB00758
1224,1,1404,DB00758
1225,1,589,DB00758
1226,1,1154,DB00758
1227,1,1001,DB00758
1228,1,1152,DB00758
1229,1,879,DB00758
1230,1,792,DB00758
1231,1,1324,DB00758
